%time,field.header.seq,field.header.stamp,field.header.frame_id,field.spi1_miss,field.spi2_miss,field.uart_miss,field.objects0.slot,field.objects0.code,field.objects0.adc1,field.objects0.adc2,field.objects0.adc3,field.objects0.adc4,field.objects0.adc5,field.objects0.adc6,field.objects0.adc7,field.objects0.adc8,field.objects0.adc9,field.objects0.adc10,field.objects0.adc11,field.objects0.adc12,field.objects0.adc13,field.objects0.adc14,field.objects0.adc15,field.objects0.adc16
1448859422776554103,9876,1448859422776306766,,0,0,0,36,1048575,0,0,0,0,0,0,0,0,599,579,582,0,0,0,0,0
1448859422791535407,9877,1448859422791287675,,0,0,0,35,1048575,0,0,0,0,0,0,0,0,593,575,578,0,0,0,0,0
1448859422806542700,9878,1448859422806273968,,0,0,0,34,1048575,0,0,0,0,0,0,0,0,599,579,582,0,0,0,0,0
1448859422821533020,9879,1448859422821267621,,0,0,0,33,1048575,0,0,0,0,0,0,0,0,600,580,583,0,0,0,0,0
1448859422836540493,9880,1448859422836259947,,0,0,0,31,1048575,0,0,0,0,0,0,0,0,601,580,584,0,0,0,0,0
1448859422851735017,9881,1448859422851345146,,0,0,0,30,1048575,0,0,0,0,0,0,0,0,594,575,579,0,0,0,0,0
1448859422867701000,9882,1448859422867308523,,0,0,0,29,1048575,0,0,0,0,0,0,0,0,598,578,582,0,0,0,0,0
1448859422882682726,9883,1448859422882292027,,0,0,0,28,1048575,0,0,0,0,0,0,0,0,599,579,583,0,0,0,0,0
1448859422897660309,9884,1448859422897278289,,0,0,0,26,1048575,0,0,0,0,0,0,0,0,599,579,583,0,0,0,0,0
1448859422912634060,9885,1448859422912244744,,0,0,0,25,1048575,0,0,0,0,0,0,0,0,595,576,580,0,0,0,0,0
1448859422927534658,9886,1448859422927136545,,0,0,0,24,1048575,0,0,0,0,0,0,0,0,597,577,581,0,0,0,0,0
1448859422942640678,9887,1448859422942250563,,0,0,0,23,1048575,0,0,0,0,0,0,0,0,598,579,582,0,0,0,0,0
1448859422957639672,9888,1448859422957250563,,0,0,0,22,1048575,0,0,0,0,0,0,0,0,601,581,584,0,0,0,0,0
1448859422972629930,9889,1448859422972228500,,0,0,0,20,1048575,0,0,0,0,0,0,0,0,595,576,579,0,0,0,0,0
1448859422987466508,9890,1448859422987074973,,0,0,0,19,1048575,0,0,0,0,0,0,0,0,597,577,581,0,0,0,0,0
1448859423002566761,9891,1448859423002208736,,0,0,0,18,1048575,0,0,0,0,0,0,0,0,598,578,582,0,0,0,0,0
