%time,field.header.seq,field.header.stamp,field.header.frame_id,field.poses0.name,field.poses0.position.x,field.poses0.position.y,field.poses0.position.z,field.poses0.orientation.x,field.poses0.orientation.y,field.poses0.orientation.z,field.poses0.orientation.w,field.poses0.pose_updated,field.poses1.name,field.poses1.position.x,field.poses1.position.y,field.poses1.position.z,field.poses1.orientation.x,field.poses1.orientation.y,field.poses1.orientation.z,field.poses1.orientation.w,field.poses1.pose_updated,field.poses2.name,field.poses2.position.x,field.poses2.position.y,field.poses2.position.z,field.poses2.orientation.x,field.poses2.orientation.y,field.poses2.orientation.z,field.poses2.orientation.w,field.poses2.pose_updated
1448859421539324053,25233,1448859421538927247,,sensor,-0.879825515747,0.0122265865803,0.212539405823,-0.000880676357597,-0.00671895656517,0.00640021479263,0.999956557698,1,emitter,0.86007004369,0.164541767284,0.191475175331,0.00211591032256,-0.0415101929546,0.425344409708,0.904076633884,1,quad97,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1448859421549327813,25234,1448859421548934461,,sensor,-0.879790344238,0.0122196052074,0.212405639648,-0.000824740645103,-0.00695617004722,0.0067461153453,0.999952709596,1,emitter,0.859840788438,0.164466289691,0.191220247125,0.010521776451,-0.041092048893,0.424399906302,0.90448076556,1,quad97,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1448859421560720194,25235,1448859421560378890,,sensor,-0.879712188721,0.012185484767,0.212434474945,-0.00070523867665,-0.00712381155931,0.00664654695147,0.999952287542,1,emitter,0.860110609442,0.164532302244,0.191568072337,0.00372406314657,-0.0421112990441,0.425695238811,0.903878494877,1,quad97,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1448859421569345316,25236,1448859421568985978,,sensor,-0.879894943237,0.0121065617204,0.212622463226,-0.000435200607284,-0.00869916459129,0.00650945221791,0.999940879336,1,emitter,0.859937253454,0.164669384395,0.191672565019,0.00514750552762,-0.0418416675697,0.426584100134,0.903464876769,1,quad97,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1448859421579498490,25237,1448859421579117864,,sensor,-0.879861938477,0.0121255272627,0.212583065033,-0.00023891044308,-0.00862469314793,0.00676383657974,0.999939902246,1,emitter,0.859916220999,0.164668905545,0.191774551017,0.00616052399417,-0.0417307736719,0.426271554449,0.903611173205,1,quad97,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1448859421589563008,25238,1448859421589186518,,sensor,-0.879795181274,0.0122239722013,0.21246553421,-0.000974731713076,-0.00701070236701,0.00646495212546,0.999954051117,1,emitter,0.860173864328,0.164622074719,0.191664725429,0.00366033271525,-0.0408787049843,0.424397313945,0.904545440185,1,quad97,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1448859421599556932,25239,1448859421599158712,,sensor,-0.879760742188,0.0122132405043,0.212429012299,-0.000737412960384,-0.00728493577309,0.00675036547377,0.99995040802,1,emitter,0.859955969314,0.164505268237,0.191361527883,0.00864380608289,-0.0400306441759,0.424837207551,0.904342954428,1,quad97,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1448859421609400856,25240,1448859421609010077,,sensor,-0.879843475342,0.0120577203035,0.212487571716,0.000259556089365,-0.00821526184919,0.00681760739166,0.999942979541,1,emitter,0.859653757509,0.164782741587,0.191755005676,0.00716328732757,-0.0430756567119,0.422915061198,0.905116581511,1,quad97,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1448859421619371253,25241,1448859421619001956,,sensor,-0.879468933105,0.0120073415041,0.212220367432,-0.00247945049148,-0.0073500381348,0.00449106151688,0.999959829009,1,emitter,0.859586287785,0.164740730399,0.191484932815,0.0117514423019,-0.0395438500218,0.42249953274,0.905423841283,1,quad97,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1448859421629548012,25242,1448859421629168859,,sensor,-0.879920608521,0.0121357990503,0.212590034485,-0.000416861920259,-0.00909128724442,0.00648452941922,0.999937560851,1,emitter,0.859871414137,0.164859097404,0.19181777026,0.0062027334589,-0.0419377057643,0.423403000927,0.904948978528,1,quad97,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
